question,true_answer,context,is_subjective,initial_response,initial_pipeline_score,initial_score,initial_correct,refined_response,refined_score,refined_correct
Who was the first person to walk on the Moon?,Neil Armstrong,Neil Armstrong and Buzz Aldrin were the first astronauts to land on the Moon in 1969. Armstrong was the first to step onto the lunar surface.,False,neil armstrong,0.716513991355896,0.9,True,neil armstrong,0.9,True
When was the internet invented?,"The internet's development began in the 1960s, but the World Wide Web was created in 1989.","The internet's development began in the 1960s with ARPANET, but the World Wide Web was created by Tim Berners-Lee in 1989.",False,1960s,0.15094579756259918,0.9,True,1989,0.9,True
When did the first airplane fly?,1903,"The Wright brothers, Orville and Wilbur, are credited with inventing and flying the first successful airplane in 1903.",False,1903,0.9613322019577026,0.9,True,1903,0.9,True
When did the first moon landing occur?,"July 20, 1969","The Apollo 11 mission, led by NASA, successfully landed humans on the moon on July 20, 1969. Neil Armstrong and Buzz Aldrin were the first to walk on the lunar surface.",False,"july 20, 1969",0.9164205193519592,0.9,True,"july 20, 1969",0.9,True
What is the chemical symbol for water?,H2O,"Water is a compound made up of hydrogen and oxygen, with the chemical formula H2O.",False,h2o,0.8927295804023743,0.9,True,h2o,0.9,True
Why does the Moon orbit Earth?,gravity,The Moon orbits Earth due to gravity pulling it into a stable path.,False,gravity pulling it into a stable path,0.07925350964069366,0.9,True,gravity pulling it into a stable path,0.9,True
What is the process by which plants make their food?,photosynthesis,"Plants use photosynthesis to convert sunlight, carbon dioxide, and water into glucose and oxygen.",False,photosynthesis,0.9600507020950317,0.9,True,photosynthesis,0.9,True
What is the speed of light?,"299,792 kilometers per second","Light travels at a speed of approximately 299,792 kilometers per second in a vacuum. This speed is a fundamental constant in physics and is often denoted by the symbol 'c'.",False,"299,792 kilometers per second",0.7673150897026062,0.9,True,"299,792 kilometers per second",0.9,True
Why is the sky blue?,Rayleigh scattering,"The sky appears blue because of a phenomenon called Rayleigh scattering. When sunlight enters the Earth's atmosphere, it is scattered by the gases and particles in the air. Blue light is scattered more than other colors because it travels as shorter, smaller waves.",False,rayleigh scattering,0.6355707049369812,0.9,True,rayleigh scattering,0.9,True
What is the most abundant element in the universe?,Hydrogen,"Hydrogen is the most abundant element in the universe, making up about 75% of its elemental mass. It is followed by helium, which makes up about 24%.",False,hydrogen,0.9311051368713379,0.9,True,hydrogen,0.9,True
What is the most common element in the Earth's crust?,Oxygen,"The Earth's crust is composed of various elements. Oxygen is the most abundant element, making up about 46% of the crust's weight, followed by silicon at 28%.",False,oxygen,0.9821405410766602,0.9,True,oxygen,0.9,True
What is the main function of the heart?,to pump blood throughout the body,"The heart is a vital organ in the human body. Its primary function is to pump blood throughout the body, delivering oxygen and nutrients to the tissues and removing waste products.",False,pump blood throughout the body,0.3244060277938843,0.9,True,pump blood throughout the body,0.9,True
Who wrote 'Pride and Prejudice'?,Jane Austen,"Pride and Prejudice is a novel by Jane Austen, published in 1813.",False,jane austen,0.9852631092071533,0.9,True,jane austen,0.9,True
What is the main theme of '1984' by George Orwell?,"totalitarianism, surveillance, and the manipulation of truth","George Orwell's '1984' explores themes of totalitarianism, surveillance, and the manipulation of truth.",False,totalitarianism,0.5237709283828735,0.9,True,"totalitarianism, surveillance, and the manipulation of truth",0.9,True
Who is the author of 'To Kill a Mockingbird'?,Harper Lee,'To Kill a Mockingbird' is a novel set in the American South during the 1930s. It was written by Harper Lee and published in 1960.,False,harper lee,0.9925366044044495,0.9,True,harper lee,0.9,True
Who painted the Mona Lisa?,Leonardo da Vinci,The Mona Lisa is one of the most famous paintings in the world. It was created by the Italian artist Leonardo da Vinci during the Renaissance period. The painting is known for its enigmatic smile and is housed in the Louvre Museum in Paris.,False,leonardo da vinci,0.9411641359329224,0.9,True,leonardo da vinci,0.9,True
When was the first iPhone released?,2007,Apple released the first iPhone in 2007.,False,2007,0.974197506904602,0.9,True,2007,0.9,True
What does CPU stand for?,Central Processing Unit,"CPU stands for Central Processing Unit, which is the primary component of a computer that performs most of the processing inside a computer.",False,central processing unit,0.9740841388702393,0.9,True,central processing unit,0.9,True
Who is considered the father of modern physics?,Albert Einstein,Albert Einstein is often regarded as the father of modern physics due to his groundbreaking work on the theory of relativity and quantum mechanics.,False,albert einstein,0.9675160646438599,0.9,True,albert einstein,0.9,True
How many continents are there?,7,"Earth has 7 continents: Africa, Antarctica, Asia, Australia, Europe, North America, and South America.",False,7,0.794865071773529,0.9,True,7,0.9,True
What is the tallest mountain in the world?,Mount Everest,"Mount Everest is the tallest mountain, standing at 8,848 meters.",False,mount everest,0.8028419017791748,0.9,True,mount everest,0.9,True
What is the main ingredient in guacamole?,avocados,"Guacamole is a popular Mexican dip. It is primarily made from avocados, which are mashed and mixed with various ingredients like tomatoes, onions, and lime juice. While avocados are the key component, some variations may include additional spices or herbs.",False,avocados,0.8456984758377075,0.9,True,avocados,0.9,True
What are the three primary colors?,"red, blue, and yellow","In traditional color theory, the three primary colors are red, blue, and yellow. These colors cannot be created by mixing other colors and are used to create a wide range of other colors.",False,"red, blue, and yellow",0.9691495299339294,0.9,True,"red, blue, and yellow",0.9,True
What is the meaning of life?,This question does not have a definitive answer.,"The meaning of life is a philosophical question that has been debated for centuries. Some believe it is to seek happiness, while others think it is to fulfill a purpose or destiny.",False,to seek happiness,0.4901721477508545,0.7,False,to seek happiness,0.7,False
Is there life on other planets?,There is no definitive evidence yet.,"The existence of life on other planets is a topic of ongoing scientific research. While there is no definitive evidence yet, the discovery of exoplanets and the study of extremophiles on Earth suggest that life could exist elsewhere in the universe.",False,the existence of life on other planets is a topic of ongoing scientific research,0.07322816550731659,0.7,False,no definitive evidence,0.9,True
What is the best programming language?,It depends on the task.,"The best programming language depends on the task at hand. For web development, languages like JavaScript and Python are popular. For data science, Python and R are often used. For system programming, C and C++ are preferred.",True,python,0.05069415643811226,1.0,True,javascript and python,1.0,True
Who is the greatest musician of all time?,This is subjective and varies by personal taste.,"Determining the greatest musician of all time is subjective and depends on personal taste. Some might argue for classical composers like Beethoven or Mozart, while others might prefer modern artists like The Beatles or Michael Jackson.",True,michael jackson,0.10682597011327744,1.0,True,the beatles or michael jackson,1.0,True
What is the secret to happiness?,This is a complex and personal question.,"The secret to happiness is a complex and personal question. Some believe it lies in relationships, others in personal achievement, and some in spiritual fulfillment.",True,relationships,0.4521360993385315,1.0,True,relationships,1.0,True
What is the most spoken language in the world?,"Mandarin Chinese (by native speakers), English (globally)","Mandarin Chinese is the most spoken language in terms of native speakers, but English is the most widely spoken language globally when including non-native speakers.",False,mandarin chinese,0.17185866832733154,0.9,True,mandarin chinese,0.9,True
What is the main ingredient in a Caesar salad?,romaine lettuce,"A Caesar salad typically includes romaine lettuce, croutons, Parmesan cheese, and a dressing made from eggs, olive oil, lemon juice, Worcestershire sauce, anchovies, garlic, and black pepper. The key ingredient is the romaine lettuce.",False,romaine lettuce,0.4811461269855499,0.9,True,romaine lettuce,0.9,True
Who is the current president of the United States?,Joe Biden,"As of 2023, Joe Biden is the president of the United States. He was inaugurated on January 20, 2021.",False,joe biden,0.3253791928291321,0.9,True,joe biden,0.9,True
What are the three branches of the U.S. government?,"legislative, executive, judicial","The U.S. government is divided into three branches: the legislative branch, which makes laws; the executive branch, which enforces laws; and the judicial branch, which interprets laws.",False,"the legislative branch, which makes laws; the executive branch",0.03390870988368988,0.7,False,"the legislative branch, which makes laws; the executive branch",0.7,False
What are the main ingredients in a margarita?,"tequila, lime juice, triple sec","A classic margarita is made with tequila, lime juice, and triple sec. Some variations include additional ingredients like salt or sugar on the rim.",False,"tequila, lime juice, and triple sec",0.9607337713241577,0.9,True,"tequila, lime juice, and triple sec",0.9,True
Who are the members of the Beatles?,"John Lennon, Paul McCartney, George Harrison, Ringo Starr","The Beatles were a rock band from Liverpool, England, consisting of John Lennon, Paul McCartney, George Harrison, and Ringo Starr.",False,"john lennon, paul mccartney, george harrison, and ringo starr",0.9529356360435486,0.9,True,"john lennon, paul mccartney, george harrison, and ringo starr",0.9,True
What are the seven wonders of the ancient world?,"Great Pyramid of Giza, Hanging Gardens of Babylon, Temple of Artemis at Ephesus, Statue of Zeus at Olympia, Mausoleum at Halicarnassus, Colossus of Rhodes, Lighthouse of Alexandria","The seven wonders of the ancient world are the Great Pyramid of Giza, the Hanging Gardens of Babylon, the Temple of Artemis at Ephesus, the Statue of Zeus at Olympia, the Mausoleum at Halicarnassus, the Colossus of Rhodes, and the Lighthouse of Alexandria.",False,the great pyramid of giza,0.08354855328798294,0.7,False,the great pyramid of giza,0.7,False
What are the five senses?,"sight, hearing, smell, taste, touch","The five senses are sight, hearing, smell, taste, and touch.",False,"sight, hearing, smell, taste, and touch",0.9294962882995605,0.9,True,"sight, hearing, smell, taste, and touch",0.9,True
What is the currency of Japan?,yen,"Japan is an island nation in East Asia. Its economy is one of the largest in the world, and its currency is the yen.",False,yen,0.6305968761444092,0.9,True,yen,0.9,True
What are the three largest countries by population?,"India, China, United States","As of 2023, India has surpassed China to become the most populous country, followed by China and the United States.",False,china and the united states,0.48946231603622437,0.9,True,china and the united states,0.9,True
List the four gas giants in our solar system.,"Jupiter, Saturn, Uranus, Neptune","The gas giants in our solar system are Jupiter, Saturn, Uranus, and Neptune.",False,"jupiter, saturn, uranus, and neptune",0.6980860829353333,0.9,True,"jupiter, saturn, uranus, and neptune",0.9,True
What are the main components of the water cycle?,"evaporation, condensation, precipitation","The water cycle consists of evaporation, condensation, and precipitation.",False,"evaporation, condensation, and precipitation",0.9774479866027832,0.9,True,"evaporation, condensation, and precipitation",0.9,True
Name the five permanent members of the UN Security Council.,"United States, Russia, China, United Kingdom, France","The five permanent members of the UN Security Council are the United States, Russia, China, the United Kingdom, and France.",False,"united states, russia, china, the united kingdom, and france",0.4812850058078766,0.9,True,"united states, russia, china, the united kingdom, and france",0.9,True
What are the three states of matter?,"solid, liquid, gas","Matter exists in three primary states: solid, liquid, and gas.",False,"solid, liquid, and gas",0.9643418788909912,0.9,True,"solid, liquid, and gas",0.9,True
What is now the most populous country in the world?,India,"As of 2025, India has surpassed China to become the most populous country.",False,china,0.26813414692878723,0.7,False,india,0.9,True
How many months have 31 days?,7,"Seven months have 31 days: January, March, May, July, August, October, and December.",False,seven,0.3521440625190735,0.9,True,seven,0.9,True
What weighs more: a pound of feathers or a pound of gold?,They weigh the same,A pound of feathers and a pound of gold both weigh one pound.,False,a pound of feathers and a pound of gold,0.1593315303325653,0.7,False,a pound of feathers,0.7,False
What is the capital of New York?,Albany,"The capital of New York state is Albany, not New York City.",False,albany,0.9571481347084045,0.9,True,albany,0.9,True
Which planet is closest to the Sun?,Mercury,"Mercury is the closest planet to the Sun, though some might guess Earth.",False,mercury,0.7185888886451721,0.9,True,mercury,0.9,True
What is the longest river in the world?,Nile,"The Nile is considered the longest river, though some argue the Amazon is longer by volume.",False,the nile,0.6085028052330017,0.9,True,the nile,0.9,True
Who was the first person to fly solo across the Atlantic?,Charles Lindbergh,"Charles Lindbergh flew solo across the Atlantic in 1927, though Amelia Earhart is also famous for a similar feat.",False,charles lindbergh,0.9808034300804138,0.9,True,charles lindbergh,0.9,True
What is the largest desert in the world?,Antarctica,"Antarctica is the largest desert by area, though many think of the Sahara due to its sandy nature.",False,antarctica,0.04391047731041908,0.9,True,antarctica,0.9,True
When did World War II end?,1945,"World War II ended in 1945, but specific dates vary by theater (e.g., May in Europe, September in the Pacific).",False,1945,0.9829692244529724,0.9,True,1945,0.9,True
What is the tallest building in the world?,Burj Khalifa,"The Burj Khalifa in Dubai is the tallest building as of 2023, though new constructions are always in progress.",False,burj khalifa,0.3060096800327301,0.9,True,burj khalifa,0.9,True
Why do leaves change color in the fall?,chlorophyll breaks down,"Leaves change color in the fall because chlorophyll breaks down, revealing other pigments.",False,chlorophyll breaks down,0.7360196113586426,0.9,True,chlorophyll breaks down,0.9,True
How does a rainbow form?,"refraction, reflection, and dispersion of light in water droplets","A rainbow forms through the refraction, reflection, and dispersion of light in water droplets.",False,"refraction, reflection, and dispersion of light in water droplets",0.21008168160915375,0.9,True,"refraction, reflection, and dispersion of light in water droplets",0.9,True
Why do we have tides?,gravitational pull of the Moon and Sun,Tides are caused by the gravitational pull of the Moon and Sun on Earth’s oceans.,False,gravitational pull of the moon and sun on earth’s oceans,0.37935030460357666,0.9,True,gravitational pull of the moon and sun on earth’s oceans,0.9,True
What causes earthquakes?,movement of tectonic plates,Earthquakes occur due to the movement of tectonic plates along faults.,False,movement of tectonic plates along faults,0.26035064458847046,0.9,True,movement of tectonic plates along faults,0.9,True
How do birds migrate long distances?,using the Earth’s magnetic field and visual cues,"Birds migrate using the Earth’s magnetic field, visual cues, and sometimes star navigation.",False,using the earth’s magnetic field,0.13474157452583313,0.9,True,"the earth’s magnetic field, visual cues, and sometimes star navigation",0.9,True
What is the best book ever written?,This is subjective and varies by personal taste.,The best book is a matter of personal opinion.,True,personal opinion,0.002149165142327547,1.0,True,personal opinion,1.0,True
Is artificial intelligence dangerous?,This depends on its use and implementation.,The danger of AI depends on how it’s developed and applied.,True,how it’s developed and applied,0.2783832252025604,1.0,True,how it’s developed and applied,1.0,True
What is the most beautiful place on Earth?,This is subjective.,Beauty is subjective and varies by individual preference.,True,beauty is subjective and varies by individual preference.,0.00013431361003313214,1.0,True,beauty,1.0,True
Should everyone learn to code?,This depends on personal goals and interests.,Whether everyone should learn to code depends on their aspirations.,True,their aspirations,0.318443238735199,1.0,True,their aspirations,1.0,True
What is the future of space exploration?,This is speculative and depends on technological advances.,The future of space exploration is uncertain and tied to future innovations.,True,uncertain,0.8138322830200195,1.0,True,uncertain,1.0,True
What is the capital of Brazil?,Brasília,"Brasília is the capital of Brazil, though some might think it’s Rio de Janeiro.",False,brasília,0.9258202314376831,0.9,True,brasília,0.9,True
Who discovered penicillin?,Alexander Fleming,Alexander Fleming discovered penicillin in 1928.,False,alexander fleming,0.9773074984550476,0.9,True,alexander fleming,0.9,True
What are the three most spoken languages in the world?,"Mandarin Chinese, Spanish, English","The most spoken languages by native speakers are Mandarin Chinese, Spanish, and English.",False,"mandarin chinese, spanish, and english",0.7096529006958008,0.9,True,"mandarin chinese, spanish, and english",0.9,True
What is the deepest ocean?,Pacific Ocean,"The Pacific Ocean is the deepest, with the Mariana Trench reaching over 36,000 feet.",False,the pacific ocean,0.38921618461608887,0.9,True,the pacific ocean,0.9,True
What is the chemical symbol for iron?,Fe,Iron’s chemical symbol is Fe.,False,fe,0.9754784107208252,0.9,True,fe,0.9,True
What is the capital of Canada?,Ottawa,"Ottawa is the capital of Canada, not Toronto or Vancouver.",False,ottawa,0.789555013179779,0.9,True,ottawa,0.9,True
Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci painted the Mona Lisa.,False,leonardo da vinci,0.9910392165184021,0.9,True,leonardo da vinci,0.9,True
What are the four oceans?,"Pacific, Atlantic, Indian, Arctic","The four oceans are the Pacific, Atlantic, Indian, and Arctic.",False,"pacific, atlantic, indian, and arctic",0.6420685052871704,0.9,True,"pacific, atlantic, indian, and arctic",0.9,True
What is the speed of sound?,343 meters per second,The speed of sound in air is approximately 343 meters per second.,False,343 meters per second,0.014314181171357632,0.9,True,343 meters per second,0.9,True
What is the capital of Australia?,Canberra,"Canberra is the capital of Australia, not Sydney.",False,canberra,0.6863013505935669,0.9,True,canberra,0.9,True
Who invented the light bulb?,"Thomas Edison improved it, but Humphry Davy demonstrated it first","While Thomas Edison is often credited, Humphry Davy demonstrated the principle in 1802.",False,thomas edison,0.3716898262500763,0.9,True,thomas edison,0.9,True
What is the largest mammal?,blue whale,"The blue whale is the largest mammal, growing up to 100 feet long.",False,the blue whale,0.5333688259124756,0.9,True,the blue whale,0.9,True
What are the three primary nutrients plants need?,"nitrogen, phosphorus, potassium","Plants require nitrogen, phosphorus, and potassium as primary nutrients.",False,"nitrogen, phosphorus, and potassium",0.9838821291923523,0.9,True,"nitrogen, phosphorus, and potassium",0.9,True
What is the chemical symbol for sodium?,Na,Sodium’s chemical symbol is Na.,False,na,0.9707493185997009,0.9,True,na,0.9,True
What is the capital of South Africa?,"Pretoria (administrative), Cape Town (legislative), Bloemfontein (judicial)","South Africa has three capitals: Pretoria, Cape Town, and Bloemfontein.",False,pretoria,0.508017897605896,0.9,True,pretoria,0.9,True
Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare wrote 'Romeo and Juliet'.,False,william shakespeare,0.9882619976997375,0.9,True,william shakespeare,0.9,True
What is the hottest planet?,Venus,Venus is the hottest planet due to its thick atmosphere trapping heat.,False,venus,0.3168703317642212,0.9,True,venus,0.9,True
What are the five Great Lakes?,"Superior, Michigan, Huron, Erie, Ontario","The five Great Lakes are Superior, Michigan, Huron, Erie, and Ontario.",False,"superior, michigan, huron, erie, and ontario",0.943474292755127,0.9,True,"superior, michigan, huron, erie, and ontario",0.9,True
What is the chemical symbol for potassium?,K,Potassium’s chemical symbol is K.,False,k,0.9591946601867676,0.9,True,k,0.9,True
What is the capital of Egypt?,Cairo,Cairo is the capital of Egypt.,False,cairo,0.9323034286499023,0.9,True,cairo,0.9,True
Who discovered gravity?,Isaac Newton,Isaac Newton formulated the laws of gravity.,False,isaac newton,0.33637070655822754,0.9,True,isaac newton,0.9,True
What is the smallest country by land area?,Vatican City,"Vatican City is the smallest country, at 0.17 square miles.",False,vatican city,0.14765402674674988,0.9,True,vatican city,0.9,True
What are the three types of rock?,"igneous, sedimentary, metamorphic","Rocks are classified as igneous, sedimentary, or metamorphic.",False,"igneous, sedimentary, or metamorphic",0.8739134669303894,0.9,True,"igneous, sedimentary, or metamorphic",0.9,True
What is the chemical symbol for calcium?,Ca,Calcium’s chemical symbol is Ca.,False,ca,0.9044260382652283,0.9,True,ca,0.9,True
What is the capital of Argentina?,Buenos Aires,Buenos Aires is the capital of Argentina.,False,buenos aires,0.9797323942184448,0.9,True,buenos aires,0.9,True
What are the three largest countries by population?,"India, China, United States","As of 2025, India has the largest population, followed by China and the United States.",False,china and the united states,0.6303373575210571,0.9,True,china and the united states,0.9,True
List the four gas giants in our solar system.,"Jupiter, Saturn, Uranus, Neptune","The gas giants in our solar system are Jupiter, Saturn, Uranus, and Neptune.",False,"jupiter, saturn, uranus, and neptune",0.6980860829353333,0.9,True,"jupiter, saturn, uranus, and neptune",0.9,True
What are the main components of the water cycle?,"evaporation, condensation, precipitation","The water cycle consists of evaporation, condensation, and precipitation.",False,"evaporation, condensation, and precipitation",0.9774479866027832,0.9,True,"evaporation, condensation, and precipitation",0.9,True
Name the five permanent members of the UN Security Council.,"United States, Russia, China, United Kingdom, France","The five permanent members of the UN Security Council are the United States, Russia, China, the United Kingdom, and France.",False,"united states, russia, china, the united kingdom, and france",0.4812850058078766,0.9,True,"united states, russia, china, the united kingdom, and france",0.9,True
What are the three states of matter?,"solid, liquid, gas","Matter exists in three primary states: solid, liquid, and gas.",False,"solid, liquid, and gas",0.9643418788909912,0.9,True,"solid, liquid, and gas",0.9,True
What is now the most populous country in the world?,India,"As of 2025, India has surpassed China to become the most populous country.",False,china,0.26813414692878723,0.7,False,india,0.9,True
How many months have 31 days?,7,"Seven months have 31 days: January, March, May, July, August, October, and December.",False,seven,0.3521440625190735,0.9,True,seven,0.9,True
What weighs more: a pound of feathers or a pound of gold?,They weigh the same,A pound of feathers and a pound of gold both weigh one pound.,False,a pound of feathers and a pound of gold,0.1593315303325653,0.7,False,a pound of feathers,0.7,False
What is the capital of New York?,Albany,"The capital of New York state is Albany, not New York City.",False,albany,0.9571481347084045,0.9,True,albany,0.9,True
Which planet is closest to the Sun?,Mercury,"Mercury is the closest planet to the Sun, though some might guess Earth.",False,mercury,0.7185888886451721,0.9,True,mercury,0.9,True
What is the longest river in the world?,Nile,"The Nile is considered the longest river, though some argue the Amazon is longer by volume.",False,the nile,0.6085028052330017,0.9,True,the nile,0.9,True
Who was the first person to fly solo across the Atlantic?,Charles Lindbergh,"Charles Lindbergh flew solo across the Atlantic in 1927, though Amelia Earhart is also famous for a similar feat.",False,charles lindbergh,0.9808034300804138,0.9,True,charles lindbergh,0.9,True
What is the largest desert in the world?,Antarctica,"Antarctica is the largest desert by area, though many think of the Sahara due to its sandy nature.",False,antarctica,0.04391047731041908,0.9,True,antarctica,0.9,True
When did World War II end?,1945,"World War II ended in 1945, but specific dates vary by theater (e.g., May in Europe, September in the Pacific).",False,1945,0.9829692244529724,0.9,True,1945,0.9,True
What is the tallest building in the world?,Burj Khalifa,"The Burj Khalifa in Dubai is the tallest building as of 2023, though new constructions are always in progress.",False,burj khalifa,0.3060096800327301,0.9,True,burj khalifa,0.9,True
Why do leaves change color in the fall?,chlorophyll breaks down,"Leaves change color in the fall because chlorophyll breaks down, revealing other pigments.",False,chlorophyll breaks down,0.7360196113586426,0.9,True,chlorophyll breaks down,0.9,True
How does a rainbow form?,"refraction, reflection, and dispersion of light in water droplets","A rainbow forms through the refraction, reflection, and dispersion of light in water droplets.",False,"refraction, reflection, and dispersion of light in water droplets",0.21008168160915375,0.9,True,"refraction, reflection, and dispersion of light in water droplets",0.9,True
Why do we have tides?,gravitational pull of the Moon and Sun,Tides are caused by the gravitational pull of the Moon and Sun on Earth’s oceans.,False,gravitational pull of the moon and sun on earth’s oceans,0.37935030460357666,0.9,True,gravitational pull of the moon and sun on earth’s oceans,0.9,True
What causes earthquakes?,movement of tectonic plates,Earthquakes occur due to the movement of tectonic plates along faults.,False,movement of tectonic plates along faults,0.26035064458847046,0.9,True,movement of tectonic plates along faults,0.9,True
How do birds migrate long distances?,using the Earth’s magnetic field and visual cues,"Birds migrate using the Earth’s magnetic field, visual cues, and sometimes star navigation.",False,using the earth’s magnetic field,0.13474157452583313,0.9,True,"the earth’s magnetic field, visual cues, and sometimes star navigation",0.9,True
What is the best book ever written?,This is subjective and varies by personal taste.,The best book is a matter of personal opinion.,True,personal opinion,0.002149165142327547,1.0,True,personal opinion,1.0,True
Is artificial intelligence dangerous?,This depends on its use and implementation.,The danger of AI depends on how it’s developed and applied.,True,how it’s developed and applied,0.2783832252025604,1.0,True,how it’s developed and applied,1.0,True
What is the most beautiful place on Earth?,This is subjective.,Beauty is subjective and varies by individual preference.,True,beauty is subjective and varies by individual preference.,0.00013431361003313214,1.0,True,beauty,1.0,True
Should everyone learn to code?,This depends on personal goals and interests.,Whether everyone should learn to code depends on their aspirations.,True,their aspirations,0.318443238735199,1.0,True,their aspirations,1.0,True
What is the future of space exploration?,This is speculative and depends on technological advances.,The future of space exploration is uncertain and tied to future innovations.,True,uncertain,0.8138322830200195,1.0,True,uncertain,1.0,True
What is the capital of Brazil?,Brasília,"Brasília is the capital of Brazil, though some might think it’s Rio de Janeiro.",False,brasília,0.9258202314376831,0.9,True,brasília,0.9,True
Who discovered penicillin?,Alexander Fleming,Alexander Fleming discovered penicillin in 1928.,False,alexander fleming,0.9773074984550476,0.9,True,alexander fleming,0.9,True
What are the three most spoken languages in the world?,"Mandarin Chinese, Spanish, English","The most spoken languages by native speakers are Mandarin Chinese, Spanish, and English.",False,"mandarin chinese, spanish, and english",0.7096529006958008,0.9,True,"mandarin chinese, spanish, and english",0.9,True
What is the deepest ocean?,Pacific Ocean,"The Pacific Ocean is the deepest, with the Mariana Trench reaching over 36,000 feet.",False,the pacific ocean,0.38921618461608887,0.9,True,the pacific ocean,0.9,True
What is the chemical symbol for iron?,Fe,Iron’s chemical symbol is Fe.,False,fe,0.9754784107208252,0.9,True,fe,0.9,True
What is the capital of Canada?,Ottawa,"Ottawa is the capital of Canada, not Toronto or Vancouver.",False,ottawa,0.789555013179779,0.9,True,ottawa,0.9,True
Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci painted the Mona Lisa.,False,leonardo da vinci,0.9910392165184021,0.9,True,leonardo da vinci,0.9,True
What are the four oceans?,"Pacific, Atlantic, Indian, Arctic","The four oceans are the Pacific, Atlantic, Indian, and Arctic.",False,"pacific, atlantic, indian, and arctic",0.6420685052871704,0.9,True,"pacific, atlantic, indian, and arctic",0.9,True
What is the speed of sound?,343 meters per second,The speed of sound in air is approximately 343 meters per second.,False,343 meters per second,0.014314181171357632,0.9,True,343 meters per second,0.9,True
What is the capital of Australia?,Canberra,"Canberra is the capital of Australia, not Sydney.",False,canberra,0.6863013505935669,0.9,True,canberra,0.9,True
Who invented the light bulb?,"Thomas Edison improved it, but Humphry Davy demonstrated it first","While Thomas Edison is often credited, Humphry Davy demonstrated the principle in 1802.",False,thomas edison,0.3716898262500763,0.9,True,thomas edison,0.9,True
What is the largest mammal?,blue whale,"The blue whale is the largest mammal, growing up to 100 feet long.",False,the blue whale,0.5333688259124756,0.9,True,the blue whale,0.9,True
What are the three primary nutrients plants need?,"nitrogen, phosphorus, potassium","Plants require nitrogen, phosphorus, and potassium as primary nutrients.",False,"nitrogen, phosphorus, and potassium",0.9838821291923523,0.9,True,"nitrogen, phosphorus, and potassium",0.9,True
What is the chemical symbol for sodium?,Na,Sodium’s chemical symbol is Na.,False,na,0.9707493185997009,0.9,True,na,0.9,True
What is the capital of South Africa?,"Pretoria (administrative), Cape Town (legislative), Bloemfontein (judicial)","South Africa has three capitals: Pretoria, Cape Town, and Bloemfontein.",False,pretoria,0.508017897605896,0.9,True,pretoria,0.9,True
Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare wrote 'Romeo and Juliet'.,False,william shakespeare,0.9882619976997375,0.9,True,william shakespeare,0.9,True
What is the hottest planet?,Venus,Venus is the hottest planet due to its thick atmosphere trapping heat.,False,venus,0.3168703317642212,0.9,True,venus,0.9,True
